run_name,model_id,accuracy,macro_f1,weighted_f1,params,epochs_chạy,train_seconds,inference_ms_per_sample,peak_vram_gb,word_segment
phobert_base_v2,vinai/phobert-base-v2,0.47,0.4659422981501755,0.4660288420398706,135000579,8,655.7,3.02,3.98,True
phobert_no_wordseg,vinai/phobert-base-v2,0.421,0.42092556121155855,0.4209864538321652,135000579,8,771.8,3.49,4.0,False
phobert_hyponly,vinai/phobert-base-v2,0.416,0.40925291704278316,0.40933057512050475,135000579,6,281.1,1.62,2.78,True
phobert_lr5e-5,vinai/phobert-base-v2,0.45,0.4478718872411897,0.4479367589821344,135000579,6,493.8,3.01,3.98,True
