Thay đổi,Mô hình gốc,Acc gốc,Acc sau thay đổi,Δ Acc,Δ Macro-F1
Zero-shot XNLI (không fine-tune),xlmr_large_finetuned,0.449,0.334,-0.115,-0.0475
Chỉ dùng hypothesis,phobert_base_v2,0.47,0.416,-0.054,-0.0567
Bỏ tách từ tiếng Việt,phobert_base_v2,0.47,0.421,-0.049,-0.045
Chỉ dùng hypothesis,bilstm_attn,0.379,0.351,-0.028,-0.0253
Khởi tạo từ checkpoint XNLI,xlmr_large_finetuned,0.449,0.423,-0.026,0.0469
Learning rate 2e-5 → 5e-5,phobert_base_v2,0.47,0.45,-0.02,-0.0181
max_len 128 → 64,bilstm_attn,0.379,0.38,0.001,-0.0037
Dropout 0.5 → 0.2,bilstm_attn,0.379,0.403,0.024,0.0304
